row ID,row m/z,row retention time,SampleB3.mzML Peak area,SampleB4.mzML Peak area,SampleB5.mzML Peak area,SampleB2.mzML Peak area,SampleB1.mzML Peak area,Blank_reg.mzML Peak area,
126,369.0677605,4.630808693,2.18E+07,3.00E+07,0,3.56E+07,3.21E+07,0,
127,250.1084091,1.153994103,1.27E+07,7474071.384,2214513.903,6617223.566,8667785.862,0,
128,685.2006378,4.877814581,1.88E+07,1.89E+07,0,3.23E+07,1.38E+07,0,
129,555.1304728,5.225913154,5.73E+07,0,0,6.89E+07,2.55E+08,0,
130,126.0197617,5.221463506,2.88E+07,2.94E+07,8438594.089,4.72E+07,2.08E+07,0,
131,169.8340332,1.280059405,3.37E+07,3.14E+07,2.17E+07,6.64E+07,5.39E+07,0,
132,277.1810272,1.16088178,1.15E+07,4751310.22,5496325.768,8148629.2,2.30E+07,0,
133,351.1016693,4.696194159,3.53E+07,5.37E+07,0,4.57E+07,4.01E+07,0,
134,482.1754265,1.108822222,1.52E+07,1.51E+07,0,9243965.457,5453122.035,0,
135,448.1788849,5.036290392,5.41E+07,6.86E+07,2574534.279,4.66E+07,3.05E+07,0,
136,753.2243042,1.197339367,8578779.645,7399472.109,0,3748668.18,2938819.239,0,
137,951.3868484,5.084707556,3.45E+07,5.92E+07,0,5.85E+07,2.36E+07,0,
138,995.3509064,5.043793688,4.68E+07,3.85E+07,0,5.26E+07,7.88E+07,0,
139,365.1350708,5.830676799,2.86E+07,2.81E+07,1074862.219,2.06E+07,2.25E+07,0,
140,220.8872467,12.47527175,2.43E+07,9415320.887,2.25E+07,1.57E+07,9875432.055,0,
141,258.0077637,1.286906092,1.79E+07,3.48E+07,9.94E+07,2.44E+07,1.91E+07,0,
142,350.0983047,4.886160948,2.26E+07,1.48E+07,750033.7587,2.57E+07,0,0,
143,713.2886124,5.082524883,3.78E+07,6.05E+07,0,6.22E+07,3.00E+07,0,
144,387.163266,1.307594393,1.71E+07,1.02E+07,2.14E+07,8877873.108,2.25E+07,0,
145,310.8776672,12.44858254,3.71E+07,1.06E+07,1.78E+07,5.17E+07,5.60E+07,0,
146,792.5317322,1.442002948,2.24E+07,2.46E+07,1.04E+08,1.10E+07,6186536.682,0,
147,619.2717514,4.884281523,1.44E+07,9037543.438,0,9616263.307,3195930.737,0,
148,339.8973312,6.887678973,2.33E+07,2.73E+07,0,2.25E+07,2590065.724,0,
149,341.8942986,6.885528777,2.28E+07,2.58E+07,0,2.17E+07,2985346.437,0,
150,127.0038118,2.109379926,1.52E+07,1.04E+07,0,9192453.826,9062288.313,0,
151,295.8867378,6.264829038,2.04E+07,2.22E+07,2.75E+07,1.65E+07,0,0,
152,313.0177612,1.091618062,1.09E+07,1.06E+07,4.20E+08,7042165.001,9094981.149,0,
153,313.0799484,1.454079606,1.85E+07,1.31E+07,0,7415710.359,1.41E+07,0,
154,190.0544167,5.565628959,1.39E+07,1.60E+07,0,1.48E+07,7275697.107,0,
155,585.2874603,4.91017833,1.57E+07,1.13E+07,0,1.41E+07,4150375.937,0,
156,397.0029411,1.246504376,6628223.695,8325833.095,2.51E+08,1917654.126,0,0,
157,292.8876312,6.278148232,1.78E+07,1.95E+07,2.32E+07,1.46E+07,1663050.027,0,
158,218.1187172,1.115308017,1.53E+07,1.25E+07,0,1.09E+07,1.27E+07,0,
159,351.1016769,5.237688019,1.68E+07,1.60E+07,0,2.33E+07,2.09E+07,0,
160,240.9813347,1.264384126,1.09E+07,1.22E+07,0,8901566.505,8662941.914,0,
161,345.087148,2.091820081,2.16E+07,0,0,2.03E+07,1.29E+07,0,
162,132.8679759,1.116207298,5.72E+07,3.76E+07,0,1.39E+08,0,0,
163,428.1129684,1.199743672,1.09E+07,1.09E+07,0,9229332.676,1697548.552,0,
164,121.0408142,2.234497459,1.43E+07,1.96E+07,3768401.149,9976036.306,2.44E+07,0,
165,187.0724716,7.015758943,1.48E+07,2.10E+07,0,2.20E+07,1.86E+07,0,
166,319.059166,2.313615659,4.79E+07,2.84E+07,0,3.66E+07,3.55E+07,0,
167,686.2695465,1.262235322,1.18E+07,1.63E+07,0,2.64E+07,4.03E+07,0,
168,167.8367666,1.334980441,2.60E+07,2.57E+07,0,4.85E+07,0,0,
169,552.2206573,4.953353938,2.71E+07,2.41E+07,0,2.53E+07,3.78E+07,0,
170,293.175943,1.152251903,9364172.651,1.80E+07,1.76E+07,1.52E+07,2.09E+07,0,
171,226.0180035,1.316260937,6369732.034,5779026.721,5.39E+08,0,1988051.005,0,
172,248.1657448,1.082584501,1.09E+07,6553337.388,0,6170481.416,7801880.653,0,
173,314.1013428,5.597246148,2.43E+07,3.82E+07,1067048.228,4.27E+07,1.42E+07,0,
174,236.092907,4.711651447,3.66E+07,4.37E+07,0,4.44E+07,3.65E+07,0,
175,273.12463,5.242013386,1.39E+07,1.59E+07,0,1.73E+07,1.43E+07,0,
176,342.9117157,6.659392913,1.08E+07,5765974.336,5833199.67,6879428.436,4435446.125,0,
177,144.0302902,5.230138317,2.21E+07,2.25E+07,6477625.664,3.62E+07,1.54E+07,0,
178,260.8797974,12.47002499,1.92E+07,6867978.156,1.52E+07,1.47E+07,1.00E+07,0,
179,362.1008484,4.880614306,2.56E+07,2.24E+07,427837.2771,3.02E+07,2.43E+07,0,
180,685.2007243,5.530373605,3.72E+07,7.44E+07,0,5.81E+07,0,0,
181,384.08284,4.8428349,2.80E+07,2.34E+07,310526.2371,2.98E+07,0,0,
182,296.0962448,1.151998964,7956000.079,4558985.228,0,3460893.555,6611025.798,0,
183,449.0085182,1.57739978,1.58E+07,1.31E+07,0,1.37E+07,1.93E+07,0,
184,182.9886703,1.55919726,7.99E+07,8.52E+07,7.12E+07,7.68E+07,0,0,
185,147.0452423,4.903058009,1.41E+07,1.65E+07,1.06E+07,1.24E+07,1.80E+07,0,
186,381.145401,1.123951092,9509387.01,1.14E+07,0,8474176.972,6361238.254,0,
187,208.9346619,6.365924532,3.19E+07,4.92E+07,0,2.83E+07,0,0,
188,481.034668,1.1997484,1.09E+07,8962793.021,0,1.05E+07,1.56E+07,0,
189,846.5858643,1.426460015,1.45E+07,2.13E+07,1.27E+08,5577736.327,2392720.207,0,
190,317.0320358,5.261409901,4.06E+07,2.76E+07,0,4.46E+07,2.03E+08,0,
191,313.1195496,2.171271355,1.02E+07,1.79E+07,2.83E+07,2.87E+07,1.45E+07,0,
192,689.172081,1.57739978,8304410.532,7807273.786,0,3737428.151,1472574.919,0,
193,188.035347,1.908146156,1.32E+07,1.17E+07,0,1.11E+07,7034798.993,0,
194,321.0915833,2.168217275,9704460.736,7931805.453,0,1.00E+07,6508931.321,0,
195,365.0704308,1.471356085,1.73E+07,1.50E+07,0,1.40E+07,1.77E+07,0,
196,324.0856934,4.03511258,1.89E+07,1.57E+07,0,1.57E+07,9627994.441,0,
197,350.8696594,12.43041739,2.71E+07,7884297.461,1.27E+07,4.30E+07,4.97E+07,0,
198,246.0573006,5.811052681,6.01E+07,0,0,6.97E+07,6.57E+07,2359370.09,
199,228.1269875,5.22046543,1.40E+07,1.81E+07,0,1.79E+07,2.81E+07,0,
200,387.0993576,1.197339367,7989655.182,8299310.663,0,4579922.393,1.48E+07,0,
201,519.153862,5.136382484,3.66E+07,3.07E+07,0,3.18E+07,1.33E+08,0,
202,326.8516663,12.46652309,1.67E+07,5547488.984,1.14E+07,1.48E+07,1.10E+07,0,
203,193.0868492,1.223469555,7364112.55,7032501.299,0,3779059.848,3.02E+07,0,
204,143.1078308,1.369597996,8632274.601,9526251.042,1.85E+07,4718971.188,2.35E+07,0,
205,225.0646011,5.698255569,1.41E+07,1.63E+07,2.03E+07,8852260.151,1.95E+07,0,
206,342.0794067,1.754466763,1.61E+07,8746874.299,0,1.09E+07,7680278.117,0,
207,167.8367996,3.469893212,5.72E+07,3.93E+07,0,0,0,0,
208,160.0615559,6.666625671,7687286.497,1.11E+07,0,1.17E+07,1.04E+07,0,
209,345.1259117,2.742921802,2.37E+07,3.01E+07,0,1.50E+07,2149711.206,0,
210,312.1567383,2.225295884,1.63E+07,1.69E+07,0,2.38E+07,1.14E+07,0,
211,416.8415131,12.42338815,2.26E+07,6348857.709,1.04E+07,3.80E+07,4.79E+07,0,
212,178.9340271,12.46120484,2.11E+07,7036540.697,1.29E+07,2.28E+07,2.04E+07,0,
213,901.3842957,1.273186076,4868623.301,2922391.915,8.17E+07,1774558.295,1400220.68,0,
214,293.0853958,1.173598238,6604586.711,5866184.604,0,4116181.685,7428107.381,0,
215,267.0657196,4.61773546,3.06E+07,4.24E+07,0,4.06E+07,3.12E+07,0,
216,203.0204987,7.130893103,1.07E+07,1.68E+07,3158643.145,3.19E+07,4.25E+07,0,
217,340.9108368,6.661119682,4249147.932,3297841.495,4121211.314,4748811.713,2990975.327,0,
218,134.8653056,1.12817297,4.44E+07,2.86E+07,2.04E+07,0,0,0,
219,207.0363388,7.134374745,1.10E+07,1.62E+07,3336322.668,2.50E+07,4.36E+07,0,
220,353.0083313,5.259255273,2.94E+07,8000206.398,0,4.37E+07,1.64E+08,0,
221,250.0544758,1.137119501,1.42E+07,1.33E+07,0,8563584.656,2.42E+07,0,
222,629.1560669,2.188336869,1.08E+07,5768151.613,0,6829558.955,2612620.468,0,
223,230.0394882,7.153561669,1.07E+07,1.54E+07,7870383.756,1.25E+07,5274619.29,0,
224,341.117218,1.400106602,5663207.702,7000637.727,0,6206106.867,1.64E+07,0,
225,217.0176224,1.174701743,5265372.749,5450993.549,3.09E+08,3475936.348,3328867.265,0,
226,299.06604,5.233397543,3.22E+07,2.64E+07,0,2.54E+07,1.37E+08,0,
227,261.0412811,5.699989718,1.17E+07,1.11E+07,1.23E+07,9839137.176,1.80E+07,0,
228,268.8010101,6.512118718,3.63E+07,0,0,6.18E+07,0,0,
229,657.1441447,1.104667415,4489057.951,4290557.416,0,1983341.904,0,0,
230,314.0892578,2.064963218,2.46E+07,2.67E+07,1.89E+07,2.87E+07,4.10E+07,0,
231,383.0648102,6.975065402,7157351.82,7167730.155,5953957.401,3247972.997,6544544.526,0,
232,507.1563034,1.460543034,1.10E+07,6905376.675,0,4179712.346,4964299.552,0,
233,276.0620483,4.274986952,1.38E+07,1.39E+07,1304785.427,2.38E+07,2.92E+07,0,
234,238.0252884,6.328540635,8753148.636,9718375.083,4454000.989,1.23E+07,2.56E+07,0,
235,409.0927544,2.174884513,9389004.282,6833828.47,0,6819381.489,4205651.56,0,
236,163.1128662,1.643069628,8885200.216,7407182.012,2.65E+07,4988976.554,1.22E+07,0,
237,575.1139221,1.231655399,3511669.34,3872277.89,0,1655329.741,0,0,
238,739.2799683,1.275913342,3118962.257,0,5.87E+07,0,0,0,
239,158.0281219,1.199745272,6570032.675,5449642.715,0,4136779.471,6640847.724,0,
240,169.8341064,1.922383932,3.78E+07,2.42E+07,0,6.50E+07,0,0,
241,333.1456947,1.139053831,6454274.322,7659703.555,0,6785685.843,5185973.002,0,
242,611.1825638,5.235545682,8828717.521,8614774.393,0,1.18E+07,1.86E+07,0,
